Layer, Type, Ni, inW, inH, No, outW, outH, Ni/G, dataflowType, preFetch, preFetchAlign, procSize, inPlaneSize, dmaFreq, dmaFreqWt, kernelFreq, In-Read-memSpace, In-Read-accessor, In-Read-pitch, In-Read-width, In-Read-height, In-Read-size, In-Read-accessOffset, In-Read-baseAddress, In-Write-memSpace, In-Write-accessor, In-Write-pitch, In-Write-width, In-Write-height, In-Write-size, In-Write-accessOffset, In-Write-baseAddress, Out-Read-memSpace, Out-Read-accessor, Out-Read-pitch, Out-Read-width, Out-Read-height, Out-Read-size, Out-Read-accessOffset, Out-Read-baseAddress, Out-Write-memSpace, Out-Write-accessor, Out-Write-pitch, Out-Write-width, Out-Write-height, Out-Write-size, Out-Write-accessOffset, Out-Write-baseAddress, Wt-Read-memSpace, Wt-Read-accessor, Wt-Read-pitch, Wt-Read-width, Wt-Read-height, Wt-Read-size, Wt-Read-accessOffset, Wt-Read-baseAddress, Wt-Write-memSpace, Wt-Write-accessor, Wt-Write-pitch, Wt-Write-width, Wt-Write-height, Wt-Write-size, Wt-Write-accessOffset, Wt-Write-baseAddress, Wt-Oneshot-memSpace, Wt-Oneshot-accessor, Wt-Oneshot-pitch, Wt-Oneshot-width, Wt-Oneshot-height, Wt-Oneshot-size, Wt-Oneshot-accessOffset, Wt-Oneshot-baseAddress, 
 0,     Data, 0, 0, 0, 3, 512, 512, 0, FRAME, 0, 0, 1, 0, 0, 1, 1,,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, DDR, DMA, 262144, 262144, 3, 787456, 0, 2f6180, ,,,,,,,, L2, CPU, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 1, DataConvert, 512, 3, 512, 3, 512, 512, 512,  COL, 0, 0, 1536, 1536, 4, 1, 4,,,,,,,,, L2, DMA, 1600, 1600, 256, 409600, 0, 0, ,,,,,,,, MSMC, CPU, 263744, 263683, 3, 791424, 514, 7e, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 2,     Conv, 3, 512, 512, 32, 256, 256, 3, ROW_C, 514, 514, 64638, 263170, 5, 1, 5,,,,,,,,, L2, DMA, 131072, 131072, 3, 393216, 0, 0, ,,,,,,,, MSMC, CPU, 66368, 66307, 32, 2123904, 258, c13fe, ,,,,,,,, L2, DMA, 28, 28, 32, 896, 0, 60000, MSMC, DMA_ONCE, 28, 28, 32, 896, 0, 7b9880, 
 3,     Conv, 32, 256, 256, 32, 256, 256, 1,  COL, 0, 0, 66307, 66307, 16, 1, 16,,,,,,,,, L2, DMA, 66306, 66306, 4, 265344, 0, 0, ,,,,,,,, MSMC, CPU, 66368, 66307, 32, 2123904, 258, 7e, ,,,,,,,, L2, DMA, 10, 10, 384, 3840, 0, 40c80, ,,,,,,,, 
 4,     Conv, 32, 256, 256, 16, 256, 256, 32, ROW_L, 0, 0, 6208, 65792, 11, 1, 11,,,,,,,,, L2, DMA, 12480, 12480, 32, 455168, 0, 0, ,,,,,,,, MSMC, CPU, 66368, 66307, 16, 1062016, 258, 7e, ,,,,,,,, L2, DMA_ONCE, 33, 33, 16, 640, 0, 6f980, ,,,,,,,, 
 5,     Conv, 16, 256, 256, 96, 256, 256, 16, ROW_L, 0, 0, 12608, 65792, 6, 1, 6,,,,,,,,, L2, DMA, 25280, 25280, 16, 454912, 0, 0, ,,,,,,,, MSMC, CPU, 66368, 66307, 96, 6371456, 258, 7e, ,,,,,,,, L2, DMA, 17, 17, 96, 1664, 0, 6f100, MSMC, DMA_ONCE, 17, 17, 96, 1664, 0, 7b9200, 
 6,     Conv, 96, 256, 256, 96, 128, 128, 1,  COL, 0, 0, 66307, 66050, 32, 1, 32,,,,,,,,, L2, DMA, 66306, 66306, 6, 397952, 0, 0, ,,,,,,,, MSMC, CPU, 16832, 16771, 96, 1616000, 130, 7e, ,,,,,,,, L2, DMA, 10, 10, 1152, 11520, 0, 61280, ,,,,,,,, 
 7,     Conv, 96, 128, 128, 24, 128, 128, 96, ROW_L, 0, 0, 2240, 16512, 8, 1, 8,,,,,,,,, L2, DMA, 4544, 4544, 96, 449664, 0, 0, ,,,,,,,, MSMC, CPU, 16832, 16771, 24, 404096, 130, 24fcfe, ,,,,,,,, L2, DMA, 192, 97, 24, 4608, 0, 6dc80, ,,,,,,,, 
 8,     Conv, 24, 128, 128, 144, 128, 128, 24, ROW_L, 0, 0, 9408, 16512, 2, 1, 2,,,,,,,,, L2, DMA, 18880, 18880, 24, 453120, 0, 0, ,,,,,,,, MSMC, CPU, 16832, 16771, 144, 2423936, 130, 7e, ,,,,,,,, L2, DMA, 25, 25, 144, 3712, 0, 6ea00, ,,,,,,,, 
 9,     Conv, 144, 128, 128, 144, 128, 128, 1,  COL, 0, 0, 16771, 16771, 12, 1, 12,,,,,,,,, L2, DMA, 16770, 16770, 24, 402560, 0, 0, ,,,,,,,, MSMC, CPU, 16832, 16771, 144, 2423936, 130, 7e, ,,,,,,,, L2, DMA, 10, 10, 1728, 17280, 0, 62480, ,,,,,,,, 
 10,     Conv, 144, 128, 128, 24, 128, 128, 144, ROW_L, 0, 0, 1472, 16512, 12, 1, 12,,,,,,,,, L2, DMA, 3008, 3008, 144, 447872, 0, 0, ,,,,,,,, MSMC, CPU, 16832, 16771, 24, 404096, 130, 2b277e, ,,,,,,,, L2, DMA, 192, 145, 24, 4608, 0, 6d580, ,,,,,,,, 
 11,  EltWise, 48, 128, 128, 24, 128, 128, 48,  COL, 0, 0, 16511, 16512, 4, 1, 4,,,,,,,,, L2, DMA, 16832, 16832, 12, 403968, 0, 0, ,,,,,,,, MSMC, CPU, 16832, 16771, 24, 404096, 130, 24fcfe, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 12,     Conv, 24, 128, 128, 144, 128, 128, 24, ROW_L, 0, 0, 9408, 16512, 2, 1, 2,,,,,,,,, L2, DMA, 18880, 18880, 24, 453120, 0, 0, ,,,,,,,, MSMC, CPU, 16832, 16771, 144, 2423936, 130, 24fcfe, ,,,,,,,, L2, DMA, 25, 25, 144, 3712, 0, 6ea00, ,,,,,,,, 
 13,     Conv, 144, 128, 128, 144, 64, 64, 1,  COL, 0, 0, 16771, 16642, 12, 1, 12,,,,,,,,, L2, DMA, 16770, 16770, 24, 402560, 0, 0, ,,,,,,,, MSMC, CPU, 4416, 4291, 144, 636032, 66, 24fcbe, ,,,,,,,, L2, DMA, 10, 10, 1728, 17280, 0, 62480, ,,,,,,,, 
 14,     Conv, 144, 64, 64, 32, 64, 64, 144, ROW_L, 0, 0, 1472, 4160, 3, 1, 3,,,,,,,,, L2, DMA, 3008, 3008, 144, 434560, 0, 0, ,,,,,,,, MSMC, CPU, 4416, 4291, 32, 141440, 66, 24fcbe, ,,,,,,,, L2, DMA, 192, 145, 32, 6144, 0, 6a180, ,,,,,,,, 
 15,     Conv, 32, 64, 64, 192, 64, 64, 32, ROW_L, 0, 0, 4160, 4160, 1, 1, 1,,,,,,,,, L2, DMA, 4160, 4160, 32, 133120, 0, 0, ,,,,,,,, MSMC, CPU, 4416, 4291, 192, 848000, 66, 27253e, ,,,,,,,, L2, DMA, 33, 33, 192, 6400, 0, 20800, ,,,,,,,, 
 16,     Conv, 192, 64, 64, 192, 64, 64, 1,  COL, 0, 0, 4291, 4291, 4, 1, 4,,,,,,,,, L2, DMA, 4290, 4290, 96, 411904, 0, 0, ,,,,,,,, MSMC, CPU, 4416, 4291, 192, 848000, 66, 27253e, ,,,,,,,, L2, DMA, 10, 10, 2304, 23040, 0, 64900, ,,,,,,,, 
 17,     Conv, 192, 64, 64, 32, 64, 64, 192, ROW_L, 0, 0, 1088, 4160, 4, 1, 4,,,,,,,,, L2, DMA, 2240, 2240, 192, 432256, 0, 0, ,,,,,,,, MSMC, CPU, 4416, 4291, 32, 141440, 66, 27253e, ,,,,,,,, L2, DMA, 320, 193, 32, 10240, 0, 69880, ,,,,,,,, 
 18,  EltWise, 64, 64, 64, 32, 64, 64, 64,  COL, 0, 0, 4159, 4160, 1, 1, 1,,,,,,,,, L2, DMA, 4416, 4416, 32, 282624, 0, 0, ,,,,,,,, MSMC, CPU, 4416, 4291, 32, 141440, 66, 24fcbe, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 19,     Conv, 32, 64, 64, 192, 64, 64, 32, ROW_L, 0, 0, 4160, 4160, 1, 1, 1,,,,,,,,, L2, DMA, 4160, 4160, 32, 133120, 0, 0, ,,,,,,,, MSMC, CPU, 4416, 4291, 192, 848000, 66, 27253e, ,,,,,,,, L2, DMA, 33, 33, 192, 6400, 0, 20800, ,,,,,,,, 
 20,     Conv, 192, 64, 64, 192, 64, 64, 1,  COL, 0, 0, 4291, 4291, 4, 1, 4,,,,,,,,, L2, DMA, 4290, 4290, 96, 411904, 0, 0, ,,,,,,,, MSMC, CPU, 4416, 4291, 192, 848000, 66, 27253e, ,,,,,,,, L2, DMA, 10, 10, 2304, 23040, 0, 64900, ,,,,,,,, 
 21,     Conv, 192, 64, 64, 32, 64, 64, 192, ROW_L, 0, 0, 1088, 4160, 4, 1, 4,,,,,,,,, L2, DMA, 2240, 2240, 192, 432256, 0, 0, ,,,,,,,, MSMC, CPU, 4416, 4291, 32, 141440, 66, 27253e, ,,,,,,,, L2, DMA, 320, 193, 32, 10240, 0, 69880, ,,,,,,,, 
 22,  EltWise, 64, 64, 64, 32, 64, 64, 64,  COL, 0, 0, 4159, 4160, 1, 1, 1,,,,,,,,, L2, DMA, 4416, 4416, 32, 282624, 0, 0, ,,,,,,,, MSMC, CPU, 4416, 4291, 32, 141440, 66, 24fcbe, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 23,     Conv, 32, 64, 64, 192, 64, 64, 32, ROW_L, 0, 0, 4160, 4160, 1, 1, 1,,,,,,,,, L2, DMA, 4160, 4160, 32, 133120, 0, 0, ,,,,,,,, MSMC, CPU, 4416, 4291, 192, 848000, 66, 24fcbe, ,,,,,,,, L2, DMA, 33, 33, 192, 6400, 0, 20800, ,,,,,,,, 
 24,     Conv, 192, 64, 64, 192, 32, 32, 1,  COL, 0, 0, 4291, 4226, 4, 1, 4,,,,,,,,, L2, DMA, 4290, 4290, 96, 411904, 0, 0, ,,,,,,,, MSMC, CPU, 1216, 1123, 192, 233600, 34, 24fcde, ,,,,,,,, L2, DMA, 10, 10, 2304, 23040, 0, 64900, ,,,,,,,, 
 25,     Conv, 192, 32, 32, 64, 32, 32, 192, ROW_L, 0, 0, 1056, 1056, 1, 1, 1,,,,,,,,, L2, DMA, 1088, 1088, 192, 208896, 0, 0, ,,,,,,,, MSMC, CPU, 1216, 1123, 64, 77952, 34, 24fcde, ,,,,,,,, L2, DMA, 320, 193, 64, 20480, 0, 33000, ,,,,,,,, 
 26,     Conv, 64, 32, 32, 384, 32, 32, 64, ROW_L, 0, 0, 1056, 1056, 1, 1, 1,,,,,,,,, L2, DMA, 1088, 1088, 64, 69632, 0, 0, ,,,,,,,, MSMC, CPU, 1216, 1123, 384, 467072, 34, 262d5e, ,,,,,,,, L2, DMA, 192, 65, 384, 73728, 0, 11000, ,,,,,,,, 
